Name,Question ID,Difficulty,Question Tags,Company Tags,Question URL,Total Submissions,Total Accepted
Two Sum,1,Easy,"Array, Hash Table","Accenture, Adobe, Amazon, American Express, Apple, Bloomberg, Expedia, Facebook, Goldman Sachs, Google, IBM, Intuit, JPMorgan, Microsoft, Morgan Stanley, Oracle, PayPal, Salesforce, Samsung, Spotify, Uber, Visa, Walmart Global Tech, Yahoo, Zoho, Zomato",https://leetcode.com/problems/two-sum,27728055,14993468
Add Two Numbers,2,Medium,"Linked List, Math, Recursion","Adobe, Amazon, Apple, Bloomberg, Capital One, Facebook, Google, JPMorgan, Microsoft, Oracle, SAP, Uber, Visa, Yahoo",https://leetcode.com/problems/add-two-numbers,11469652,5095775
Longest Substring Without Repeating Characters,3,Medium,"Hash Table, Sliding Window, String","Adobe, Amazon, Apple, Bloomberg, Facebook, Goldman Sachs, Google, Intuit, JPMorgan, Microsoft, Oracle, PayPal, Salesforce, Samsung, Spotify, Uber, VMWare, Walmart Global Tech, Yahoo, Yandex, Zoho",https://leetcode.com/problems/longest-substring-without-repeating-characters,18192839,6484588
Median of Two Sorted Arrays,4,Hard,"Array, Binary Search, Divide and Conquer","Accolite, Adobe, Amazon, Apple, Atlassian, Bloomberg, Bytedance, Facebook, Goldman Sachs, Google, Grab, HashedIn, IBM, Intuit, Linkedin, Microsoft, Nagarro, PayPal, PayTM, Samsung, ServiceNow, VMWare, Walmart Global Tech, Yandex",https://leetcode.com/problems/median-of-two-sorted-arrays,7032500,2940272
Longest Palindromic Substring,5,Medium,"Dynamic Programming, String, Two Pointers","Accenture, Accolite, Adobe, Amazon, Apple, Bloomberg, Facebook, Flipkart, Goldman Sachs, Google, HSBC, IBM, Intuit, MakeMyTrip, Microsoft, Morgan Stanley, Nagarro, Nutanix, Oracle, Qualcomm, SAP Labs, Samsung, ServiceNow, Sprinklr, Visa, Walmart, Zoho",https://leetcode.com/problems/longest-palindromic-substring,9805030,3397075
Zigzag Conversion,6,Medium,String,"Adobe, Amazon, PayPal",https://leetcode.com/problems/zigzag-conversion,3051279,1514139
Reverse Integer,7,Medium,Math,"Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Oracle, Samsung, Visa, Yahoo",https://leetcode.com/problems/reverse-integer,12236780,3587228
String to Integer (atoi),8,Medium,String,"Adobe, Amazon, Apple, Bloomberg, Facebook, Goldman Sachs, Google, Microsoft",https://leetcode.com/problems/string-to-integer-atoi,9516114,1721902
Palindrome Number,9,Easy,Math,"Accenture, Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Uber, Yahoo",https://leetcode.com/problems/palindrome-number,9345749,5401024
Regular Expression Matching,10,Hard,"Dynamic Programming, Recursion, String","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Nvidia, Uber",https://leetcode.com/problems/regular-expression-matching,3652038,1040551
Container With Most Water,11,Medium,"Array, Greedy, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Facebook, Goldman Sachs, Google, Microsoft",https://leetcode.com/problems/container-with-most-water,6091837,3435995
Integer to Roman,12,Medium,"Hash Table, Math, String","Adobe, Amazon, Apple, Bloomberg, Capital One, Google, Microsoft, Tiktok",https://leetcode.com/problems/integer-to-roman,2236513,1490575
Roman to Integer,13,Easy,"Hash Table, Math, String","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Tiktok, Yahoo",https://leetcode.com/problems/roman-to-integer,6609467,4166244
Longest Common Prefix,14,Easy,"String, Trie","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Quora, SAP, Uber",https://leetcode.com/problems/longest-common-prefix,8748234,3855017
3Sum,15,Medium,"Array, Sorting, Two Pointers","Adobe, Amazon, American Express, Apple, Bloomberg, Bytedance, Cisco, Facebook, Goldman Sachs, Google, Infosys, Microsoft, Morgan Stanley, Oracle, Qualtrics, Salesforce, Tesla, Tiktok, Uber, VMWare, Walmart Global Tech, Yahoo",https://leetcode.com/problems/3sum,11328631,4033569
3Sum Closest,16,Medium,"Array, Sorting, Two Pointers","Adobe, Amazon, Apple, Facebook, Goldman Sachs, Google, Microsoft",https://leetcode.com/problems/3sum-closest,2885089,1332455
Letter Combinations of a Phone Number,17,Medium,"Backtracking, Hash Table, String","Airtel, Amazon, Apple, Atlassian, Bloomberg, Capital One, Cisco, Databricks, Dunzo, Facebook, Flipkart, Goldman Sachs, Google, Microsoft, Morgan Stanley, Nagarro, OLA, Oracle, Qualtrics, Twilio, Uber, VMWare, Walmart Labs, eBay, oyo",https://leetcode.com/problems/letter-combinations-of-a-phone-number,3636161,2257209
4Sum,18,Medium,"Array, Sorting, Two Pointers","Adobe, Amazon, Apple, Facebook, Google, Infosys, Linkedin, Microsoft, Yahoo",https://leetcode.com/problems/4sum,2951468,1089175
Remove Nth Node From End of List,19,Medium,"Linked List, Two Pointers","Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/remove-nth-node-from-end-of-list,6491244,3054566
Valid Parentheses,20,Easy,"Stack, String","Adobe, Amazon, Apple, Barclays, Bloomberg, BookingCom, Cisco, Expedia, Facebook, Goldman Sachs, Google, Linkedin, Microsoft, Oracle, Salesforce, ServiceNow, Spotify, TCS, Tiktok, Uber, VMWare, Yandex",https://leetcode.com/problems/valid-parentheses,12718629,5245461
Merge Two Sorted Lists,21,Easy,"Linked List, Recursion","Accenture, Adobe, Amazon, Bloomberg, Facebook, Google, Microsoft, Oracle, Shopee, Uber",https://leetcode.com/problems/merge-two-sorted-lists,7095202,4649203
Generate Parentheses,22,Medium,"Backtracking, Dynamic Programming, String","Adobe, Amazon, Apple, Bloomberg, Bytedance, Facebook, Google, Microsoft, Oracle, Tesla, Uber, Walmart Global Tech",https://leetcode.com/problems/generate-parentheses,2707774,2050939
Merge k Sorted Lists,23,Hard,"Divide and Conquer, Heap (Priority Queue), Linked List, Merge Sort","Adobe, Amazon, Apple, Bloomberg, Bytedance, Facebook, Google, Indeed, Linkedin, Microsoft, Oracle, Shopee, Sprinklr, Tiktok, VMWare, Walmart Global Tech, Yandex",https://leetcode.com/problems/merge-k-sorted-lists,4035543,2200079
Swap Nodes in Pairs,24,Medium,"Linked List, Recursion","Adobe, Amazon, Apple, Bloomberg, Facebook, Microsoft",https://leetcode.com/problems/swap-nodes-in-pairs,2257942,1481066
Reverse Nodes in k-Group,25,Hard,"Linked List, Recursion","Amazon, Bloomberg, Bytedance, Capital One, Facebook, Google, Microsoft, Yahoo",https://leetcode.com/problems/reverse-nodes-in-k-group,1743854,1060360
Remove Duplicates from Sorted Array,26,Easy,"Array, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Linkedin, Microsoft, VMWare",https://leetcode.com/problems/remove-duplicates-from-sorted-array,8911646,5176355
Remove Element,27,Easy,"Array, Two Pointers","Adobe, Amazon, Apple, Google, Microsoft",https://leetcode.com/problems/remove-element,5982121,3501799
Find the Index of the First Occurrence in a String,28,Easy,"String, String Matching, Two Pointers","Amazon, Google, Microsoft, Qualcomm",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,6521967,2850999
Divide Two Integers,29,Medium,"Bit Manipulation, Math","Adobe, Amazon, Bloomberg, Facebook, Google, Microsoft, Yahoo",https://leetcode.com/problems/divide-two-integers,4636786,827240
Substring with Concatenation of All Words,30,Hard,"Hash Table, Sliding Window, String","Amazon, Apple, Google, Microsoft, Oracle",https://leetcode.com/problems/substring-with-concatenation-of-all-words,1546133,502856
Next Permutation,31,Medium,"Array, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Bytedance, De Shaw, DoorDash, Facebook, Goldman Sachs, Google, Grab, JPMorgan and Chase, Linkedin, Microsoft, Rubrik, Tiktok, Uber, Walmart Labs, Yahoo, Zoho",https://leetcode.com/problems/next-permutation,3739720,1547783
Longest Valid Parentheses,32,Hard,"Dynamic Programming, Stack, String","Amazon, Bytedance, Facebook, Microsoft, Morgan Stanley, Oracle, VMWare",https://leetcode.com/problems/longest-valid-parentheses,2307675,806894
Search in Rotated Sorted Array,33,Medium,"Array, Binary Search","Accenture, Adobe, Airtel, Amazon, American Express, Apple, Arcesium, Bloomberg, Bytedance, Capgemini, Cisco, Cognizant, De Shaw, Expedia, Facebook, Flipkart, Goldman Sachs, Google, Grab, HashedIn, Intuit, JPMorgan, Linkedin, MakeMyTrip, Microsoft, Morgan Stanley, Nagarro, Nvidia, Oracle, PayPal, PayTM, PhonePe, Qualcomm, SAP Labs, Salesforce, Samsung, ServiceNow, Snapdeal, TCS, Tiktok, VMWare, Visa, Walmart Global Tech, Yahoo, Yandex, oyo",https://leetcode.com/problems/search-in-rotated-sorted-array,7452279,3109692
Find First and Last Position of Element in Sorted Array,34,Medium,"Array, Binary Search","Adobe, Airtel, Amazon, Bloomberg, Bytedance, Facebook, Goldman Sachs, Google, Linkedin, Microsoft, Oracle, Uber, VMWare, Wipro",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,5074222,2304160
Search Insert Position,35,Easy,"Array, Binary Search","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Tiktok, Uber, VMWare",https://leetcode.com/problems/search-insert-position,6943019,3295974
Valid Sudoku,36,Medium,"Array, Hash Table, Matrix","Amazon, Apple, Cruise Automation, Facebook, Karat, Microsoft, Nvidia, Uber, Wayfair",https://leetcode.com/problems/valid-sudoku,2829774,1721572
Sudoku Solver,37,Hard,"Array, Backtracking, Hash Table, Matrix","Adobe, Amazon, Apple, DoorDash, Facebook, Google, Intuit, Microsoft, Nutanix, Salesforce, Tiktok, Uber",https://leetcode.com/problems/sudoku-solver,1054002,666546
Count and Say,38,Medium,String,"Adobe, Amazon, Apple, Facebook, Google, Walmart Global Tech, eBay",https://leetcode.com/problems/count-and-say,1783406,1012515
Combination Sum,39,Medium,"Array, Backtracking","Adobe, Airbnb, Amazon, Apple, Bloomberg, Bytedance, Facebook, Linkedin, Microsoft",https://leetcode.com/problems/combination-sum,3012491,2199758
Combination Sum II,40,Medium,"Array, Backtracking","Amazon, Bloomberg, Facebook, Oracle",https://leetcode.com/problems/combination-sum-ii,2133996,1207887
First Missing Positive,41,Hard,"Array, Hash Table","Adobe, Amazon, Databricks, Facebook, Google, Grab, Microsoft, Walmart Global Tech",https://leetcode.com/problems/first-missing-positive,3287077,1317751
Trapping Rain Water,42,Hard,"Array, Dynamic Programming, Monotonic Stack, Stack, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Citadel, Facebook, Goldman Sachs, Google, Intuit, Microsoft, Oracle, PayPal, Qualtrics, Rubrik, ServiceNow, Snapchat, Tesla, Uber, Visa",https://leetcode.com/problems/trapping-rain-water,3804106,2410748
Multiply Strings,43,Medium,"Math, Simulation, String","Adobe, Amazon, Facebook, Google, Microsoft",https://leetcode.com/problems/multiply-strings,2115509,870950
